0,Orthology,Reaction,Reaction_decode,Pathway,Pathway_decode,Module,Module_decode
K00001,"E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]",R08310,"4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one + NAD+ <=> 5-Phenyl-1,3-oxazinane-2,4-dione + NADH + H+",map01220,Degradation of aromatic compounds,,
K00019,"E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]",R01361,(R)-3-Hydroxybutanoate + NAD+ <=> Acetoacetate + NADH + H+,map01100,Metabolic pathways,M00088,"Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone"
K00020,"mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]",R05066,(S)-3-Hydroxyisobutyrate + NAD+ <=> (S)-Methylmalonate semialdehyde + NADH + H+,map01100,Metabolic pathways,,
K00021,HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34],R02082,(R)-Mevalonate + CoA + 2 NADP+ <=> (S)-3-Hydroxy-3-methylglutaryl-CoA + 2 NADPH + 2 H+,map04976,Bile secretion,M00849,"C5 isoprenoid biosynthesis, mevalonate pathway, archaea"
K00022,HADH; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35],R08094,3-Hydroxy-5-methylhex-4-enoyl-CoA + NAD+ <=> 5-Methyl-3-oxo-4-hexenoyl-CoA + NADH + H+,map01212,Fatty acid metabolism,M00087,beta-Oxidation
K00023,phbB; acetoacetyl-CoA reductase [EC:1.1.1.36],R01977,(R)-3-Hydroxybutanoyl-CoA + NADP+ <=> Acetoacetyl-CoA + NADPH + H+,map01200,Carbon metabolism,M00373,Ethylmalonyl pathway
K00024,mdh; malate dehydrogenase [EC:1.1.1.37],R07136,(2R)-3-Sulfolactate + NAD+ <=> 3-Sulfopyruvate + NADH + H+,map01200,Carbon metabolism,M00740,Methylaspartate cycle
K00025,MDH1; malate dehydrogenase [EC:1.1.1.37],R07136,(2R)-3-Sulfolactate + NAD+ <=> 3-Sulfopyruvate + NADH + H+,map04964,Proximal tubule bicarbonate reclamation,M00171,"C4-dicarboxylic acid cycle, NAD - malic enzyme type"
K00026,MDH2; malate dehydrogenase [EC:1.1.1.37],R07136,(2R)-3-Sulfolactate + NAD+ <=> 3-Sulfopyruvate + NADH + H+,map01200,Carbon metabolism,M00171,"C4-dicarboxylic acid cycle, NAD - malic enzyme type"
K00027,"ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]",R00214,(S)-Malate + NAD+ <=> Pyruvate + CO2 + NADH + H+,map02020,Two-component system,,
K00028,E1.1.1.39; malate dehydrogenase (decarboxylating) [EC:1.1.1.39],R00214,(S)-Malate + NAD+ <=> Pyruvate + CO2 + NADH + H+,map01200,Carbon metabolism,M00171,"C4-dicarboxylic acid cycle, NAD - malic enzyme type"
K00029,"E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]",R00216,(S)-Malate + NADP+ <=> Pyruvate + CO2 + NADPH + H+,map03320,PPAR signaling pathway,M00172,"C4-dicarboxylic acid cycle, NADP - malic enzyme type"
K00030,IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41],R00709,Isocitrate + NAD+ <=> 2-Oxoglutarate + CO2 + NADH + H+,map01230,Biosynthesis of amino acids,M00010,"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate"
K00031,"IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]",R01899,Isocitrate + NADP+ <=> Oxalosuccinate + NADPH + H+,map04146,Peroxisome,M00740,Methylaspartate cycle
K00032,E1.1.1.43; phosphogluconate 2-dehydrogenase [EC:1.1.1.43],R02034,6-Phospho-D-gluconate + NADP+ <=> 6-Phospho-2-dehydro-D-gluconate + NADPH + H+,map01120,Microbial metabolism in diverse environments,,
K00033,"PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]",R10221,6-Phospho-D-gluconate + NAD+ <=> D-Ribulose 5-phosphate + CO2 + NADH + H+,map01200,Carbon metabolism,M00006,"Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P"
K00034,gdh; glucose 1-dehydrogenase [EC:1.1.1.47],R01521,"beta-D-Glucose + NADP+ <=> D-Glucono-1,5-lactone + NADPH + H+",map01200,Carbon metabolism,,
K00035,gal; D-galactose 1-dehydrogenase [EC:1.1.1.48],R01097,"D-Galactose + NADP+ <=> D-Galactono-1,4-lactone + NADPH + H+",map01100,Metabolic pathways,,
K00036,"G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]",R10907,"beta-D-Glucose 6-phosphate + NAD+ <=> D-Glucono-1,5-lactone 6-phosphate + NADH + H+",map05230,Central carbon metabolism in cancer,M00008,"Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate"
K00037,AKR1C4; 3alpha-hydroxysteroid 3-dehydrogenase / chlordecone reductase [EC:1.1.1.50 1.1.1.357 1.1.1.225],R08963,"Dihydrotestosterone + NADPH + H+ <=> Androstan-3alpha,17beta-diol + NADP+",map01100,Metabolic pathways,M00104,"Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate"
K00038,E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53],R04847,Pregnanediol + NAD+ <=> Pregnanolone + NADH + H+,map01100,Metabolic pathways,,
K00039,rbtD; ribitol 2-dehydrogenase [EC:1.1.1.56],R01895,Ribitol + NAD+ <=> D-Ribulose + NADH + H+,map01100,Metabolic pathways,,
K00040,uxuB; fructuronate reductase [EC:1.1.1.57],R02454,D-Mannonate + NAD+ <=> D-Fructuronate + NADH + H+,map01100,Metabolic pathways,M00061,"D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P"
K00041,uxaB; tagaturonate reductase [EC:1.1.1.58],R02555,D-Altronate + NAD+ <=> D-Tagaturonate + NADH + H+,map01100,Metabolic pathways,M00631,"D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P"
K00042,"garR, glxR; 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]",R01747,D-Glycerate + NADP+ <=> 2-Hydroxy-3-oxopropanoate + NADPH + H+,map01100,Metabolic pathways,,
K00043,gbd; 4-hydroxybutyrate dehydrogenase [EC:1.1.1.61],R01644,4-Hydroxybutanoic acid + NAD+ <=> Succinate semialdehyde + NADH + H+,map01200,Carbon metabolism,,
K00044,HSD17B1; 17beta-estradiol 17-dehydrogenase [EC:1.1.1.62],R08980,"11beta,17beta-Dihydroxy-4-androsten-3-one + NADP+ <=> 11beta-Hydroxyandrost-4-ene-3,17-dione + NADPH + H+",map04913,Ovarian steroidogenesis,,
K00045,"E1.1.1.67, mtlK; mannitol 2-dehydrogenase [EC:1.1.1.67]",R00868,Mannitol + NAD+ <=> D-Fructose + NADH + H+,map01100,Metabolic pathways,,
K00046,idnO; gluconate 5-dehydrogenase [EC:1.1.1.69],,,,,,
K00048,fucO; lactaldehyde reductase [EC:1.1.1.77],R02257,"Propane-1,2-diol + NAD+ <=> (S)-Lactaldehyde + NADH + H+",map01120,Microbial metabolism in diverse environments,,
K00049,GRHPR; glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81],R02527,(R)-Lactaldehyde + NAD+ <=> Methylglyoxal + NADH + H+,map01120,Microbial metabolism in diverse environments,,
K00050,ttuD; hydroxypyruvate reductase [EC:1.1.1.81],,,map01120,Microbial metabolism in diverse environments,,
K00051,E1.1.1.82; malate dehydrogenase (NADP+) [EC:1.1.1.82],R00343,(S)-Malate + NADP+ <=> Oxaloacetate + NADPH + H+,map01200,Carbon metabolism,M00172,"C4-dicarboxylic acid cycle, NADP - malic enzyme type"
K00052,"leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]",R10052,"(2R,3S)-3-Isopropylmalate + NAD+ <=> 4-Methyl-2-oxopentanoate + CO2 + NADH + H+",map01230,Biosynthesis of amino acids,M00535,"Isoleucine biosynthesis, pyruvate => 2-oxobutanoate"
K00053,ilvC; ketol-acid reductoisomerase [EC:1.1.1.86],R05071,(S)-2-Acetolactate <=> 3-Hydroxy-3-methyl-2-oxobutanoic acid,map01230,Biosynthesis of amino acids,M00570,"Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine"
K00054,mvaA; hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88],R02081,(R)-Mevalonate + CoA + 2 NAD+ <=> (S)-3-Hydroxy-3-methylglutaryl-CoA + 2 NADH + 2 H+,map01130,Biosynthesis of antibiotics,M00849,"C5 isoprenoid biosynthesis, mevalonate pathway, archaea"
K00055,E1.1.1.90; aryl-alcohol dehydrogenase [EC:1.1.1.90],R05348,2-Methylbenzyl alcohol + NAD+ <=> 2-Methylbenzaldehyde + NADH + H+,map01220,Degradation of aromatic compounds,M00538,"Toluene degradation, toluene => benzoate"
K00057,gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94],R00844,sn-Glycerol 3-phosphate + NADP+ <=> Glycerone phosphate + NADPH + H+,map01110,Biosynthesis of secondary metabolites,,
K00058,"serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]",R01513,3-Phospho-D-glycerate + NAD+ <=> 3-Phosphonooxypyruvate + NADH + H+,map01230,Biosynthesis of amino acids,M00020,"Serine biosynthesis, glycerate-3P => serine"
K00059,"fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]",R11671,Malonyl-CoA + Acetyl-CoA <=> Dodecanoyl-[acyl-carrier protein],map01212,Fatty acid metabolism,M00874,"Fatty acid biosynthesis in mitochondria, fungi"
K00060,tdh; threonine 3-dehydrogenase [EC:1.1.1.103],R01465,L-Threonine + NAD+ <=> L-2-Amino-3-oxobutanoic acid + NADH + H+,map01100,Metabolic pathways,,
K00061,RDH5; 11-cis-retinol dehydrogenase [EC:1.1.1.315],R08382,9-cis-Retinol + NAD+ <=> 9-cis-Retinal + NADH + H+,map00830,Retinol metabolism,,
K00062,E1.1.1.116; D-arabinose 1-dehydrogenase [EC:1.1.1.116],R01574,"D-Arabinose + NAD+ <=> D-Arabinono-1,4-lactone + NADH + H+",,,,
K00063,ARA1; D-arabinose 1-dehydrogenase [EC:1.1.1.117],R01575,"D-Arabinose + NADP+ <=> D-Arabinono-1,4-lactone + NADPH + H+",,,,
K00064,E1.1.1.122; D-threo-aldose 1-dehydrogenase [EC:1.1.1.122],R08926,"L-Fucose + NAD+ <=> L-Fucono-1,5-lactone + NADH + H+",map01120,Microbial metabolism in diverse environments,M00114,"Ascorbate biosynthesis, plants, glucose-6P => ascorbate"
K00065,kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127],R01542,"2-Dehydro-3-deoxy-D-gluconate + NAD+ <=> (4S)-4,6-Dihydroxy-2,5-dioxohexanoate + NADH + H+",map01100,Metabolic pathways,,
K00066,algD; GDP-mannose 6-dehydrogenase [EC:1.1.1.132],R00880,GDP-mannose + H2O + 2 NAD+ <=> GDP-D-mannuronate + 2 NADH + 2 H+,map02020,Two-component system,,
K00067,"rfbD, rmlD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]",R02777,dTDP-L-rhamnose + NADP+ <=> dTDP-4-dehydro-beta-L-rhamnose + NADPH + H+,map01130,Biosynthesis of antibiotics,M00793,dTDP-L-rhamnose biosynthesis
K00068,srlD; sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140],R07133,Sorbitol 6-phosphate + NAD+ <=> D-Fructose 6-phosphate + NADH + H+,map01100,Metabolic pathways,,
K00069,HPGD; 15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141],R02683,Prostaglandin F2alpha + NAD+ <=> 15-Keto-prostaglandin F2alpha + NADH + H+,map05202,Transcriptional misregulation in cancer,,
K00070,HSD3B; 3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1],R04849,"11-Deoxycortisol + H+ + NADH <=> 17alpha,21-Dihydroxypregnenolone + NAD+",map04934,Cushing syndrome,M00110,"C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone"
K00071,HSD11B2; corticosteroid 11-beta-dehydrogenase isozyme 2 [EC:1.1.1.-],R03847,Corticosterone + NAD+ <=> 11-Dehydrocorticosterone + NADH + H+,map04960,Aldosterone-regulated sodium reabsorption,M00109,"C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone"
K00072,SPR; sepiapterin reductase [EC:1.1.1.153],R11763,6-(1'-Hydroxy-2'-oxopropyl)-tetrahydropterin + NADP+ <=> 6-Pyruvoyltetrahydropterin + NADPH + H+,map01100,Metabolic pathways,M00842,"Tetrahydrobiopterin biosynthesis, GTP => BH4"
K00073,allD; ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350],R02936,(S)-Ureidoglycolate + NADP+ <=> Oxalureate + NADPH + H+,map01120,Microbial metabolism in diverse environments,,
K00074,"paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]",R06941,(3S)-3-Hydroxyadipyl-CoA + NAD+ <=> 3-Oxoadipyl-CoA + NADH + H+,map01200,Carbon metabolism,,
K00075,murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98],R03192,UDP-N-acetylmuramate + NADP+ <=> UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine + NADPH + H+,map01100,Metabolic pathways,,
K00076,hdhA; 7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159],,,map00121,Secondary bile acid biosynthesis,,
K00077,"panE, apbA; 2-dehydropantoate 2-reductase [EC:1.1.1.169]",R02472,(R)-Pantoate + NADP+ <=> 2-Dehydropantoate + NADPH + H+,map01110,Biosynthesis of secondary metabolites,M00119,"Pantothenate biosynthesis, valine/L-aspartate => pantothenate"
K00078,DHDH; dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179],R07015,"1,2-Dihydronaphthalene-1,2-diol + NADP+ <=> Naphthalene-1,2-diol + NADPH + H+",map01100,Metabolic pathways,,
K00079,CBR1; carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197],R09420,4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone + NADPH + H+ <=> 4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanol + NADP+,map05204,Chemical carcinogenesis,,
K00081,CBR2; carbonyl reductase 2 [EC:1.1.1.184],R09420,4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone + NADPH + H+ <=> 4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanol + NADP+,map01100,Metabolic pathways,,
K00082,ribD2; 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193],R03458,5-Amino-6-(5'-phospho-D-ribitylamino)uracil + NADP+ <=> 5-Amino-6-(5'-phosphoribosylamino)uracil + NADPH + H+,map01110,Biosynthesis of secondary metabolites,M00125,"Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD"
K00083,CAD; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195],R07437,4-Hydroxycinnamyl aldehyde + NADPH + H+ <=> 4-Coumaryl alcohol + NADP+,map01110,Biosynthesis of secondary metabolites,M00039,"Monolignol biosynthesis, phenylalanine/tyrosine => monolignol"
K00084,CBR3; carbonyl reductase 3 [EC:1.1.1.184],R09420,4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone + NADPH + H+ <=> 4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanol + NADP+,map01100,Metabolic pathways,,
K00085,E1.1.1.200; aldose-6-phosphate reductase (NADPH2) [EC:1.1.1.200],,,,,,
K00086,"dhaT; 1,3-propanediol dehydrogenase [EC:1.1.1.202]",R03119,"Propane-1,3-diol + NAD+ <=> 3-Hydroxypropanal + NADH + H+",map01100,Metabolic pathways,,
K00087,"ygeS, xdhA; xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]",R02103,Xanthine + NAD+ + H2O <=> Urate + NADH + H+,map01120,Microbial metabolism in diverse environments,M00546,"Purine degradation, xanthine => urea"
K00088,"IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]",R08240,6-Thioinosine-5'-monophosphate + NAD+ + H2O <=> 6-Thioxanthine 5'-monophosphate + NADH + H+,map01110,Biosynthesis of secondary metabolites,M00050,"Guanine ribonucleotide biosynthesis IMP => GDP,GTP"
K00089,AKR1C2; 3alpha-hydroxysteroid 3-dehydrogenase [EC:1.1.1.213 1.1.1.357],R08960,"5alpha-Pregnan-20alpha-ol-3-one + NADPH + H+ <=> 5alpha-Pregnane-3alpha,20alpha-diol + NADP+",map00140,Steroid hormone biosynthesis,,
K00090,ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215],R01739,D-Gluconic acid + NADP+ <=> 2-Keto-D-gluconic acid + NADPH + H+,map01120,Microbial metabolism in diverse environments,,
K00091,E1.1.1.219; dihydroflavonol-4-reductase [EC:1.1.1.219],,,,,,
K00093,mdh; methanol dehydrogenase [EC:1.1.1.244],R00605,Methanol + NAD+ <=> Formaldehyde + NADH + H+,map01120,Microbial metabolism in diverse environments,,
K00094,"E1.1.1.251, gatD; galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]",R05571,Galactitol 1-phosphate + NAD+ <=> D-Tagatose 6-phosphate + NADH + H+,map01100,Metabolic pathways,,
K00095,MTD; mannitol dehydrogenase [EC:1.1.1.255],,,,,,
K00096,"araM, egsA; glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]",R05680,sn-Glycerol 1-phosphate + NADP+ <=> Glycerone phosphate + NADPH + H+,map00564,Glycerophospholipid metabolism,,
K00097,pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262],R07406,2-Amino-3-oxo-4-phosphonooxybutyrate <=> 3-Amino-2-oxopropyl phosphate + CO2,map01100,Metabolic pathways,M00124,"Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P"
K00098,idnD; L-idonate 5-dehydrogenase [EC:1.1.1.264],R05684,L-Idonate + NADP+ <=> 5-Dehydro-D-gluconate + NADPH + H+,,,,
K00099,dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267],R05688,2-C-Methyl-D-erythritol 4-phosphate + NADP+ <=> 1-Deoxy-D-xylulose 5-phosphate + NADPH + H+,map01130,Biosynthesis of antibiotics,M00096,"C5 isoprenoid biosynthesis, non-mevalonate pathway"
K00100,bdhAB; butanol dehydrogenase [EC:1.1.1.-],R03545,Butanal + NADPH + H+ <=> 1-Butanol + NADP+,map01120,Microbial metabolism in diverse environments,,
K00101,lldD; L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3],R00196,(S)-Lactate + 2 Ferricytochrome c <=> Pyruvate + 2 Ferrocytochrome c + 2 H+,map01100,Metabolic pathways,,
K00102,"LDHD, dld; D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]",R00197,(R)-Lactate + 2 Ferricytochrome c <=> Pyruvate + 2 Ferrocytochrome c + 2 H+,map01100,Metabolic pathways,,
K00103,GULO; L-gulonolactone oxidase [EC:1.1.3.8],R10053,"L-Gulono-1,4-lactone + Oxygen <=> Ascorbate + Hydrogen peroxide",map01100,Metabolic pathways,M00129,"Ascorbate biosynthesis, animals, glucose-1P => ascorbate"
K00104,glcD; glycolate oxidase [EC:1.1.3.15],R00476,Glycolate + Acceptor <=> Glyoxylate + Reduced acceptor,map01130,Biosynthesis of antibiotics,,
K00105,E1.1.3.21; alpha-glycerophosphate oxidase [EC:1.1.3.21],R00846,sn-Glycerol 3-phosphate + Oxygen <=> Glycerone phosphate + Hydrogen peroxide,map01110,Biosynthesis of secondary metabolites,,
K00106,XDH; xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2],R12990,"8-Hydroxyadenine + H2O + Oxygen <=> 2,8-Dihydroxyadenine + Hydrogen peroxide",map04146,Peroxisome,M00546,"Purine degradation, xanthine => urea"
K00107,"ALO; D-arabinono-1,4-lactone oxidase [EC:1.1.3.37]",R02715,"D-Arabinono-1,4-lactone + Oxygen <=> Dehydro-D-arabinono-1,4-lactone + Hydrogen peroxide",,,,
K00108,"betA, CHDH; choline dehydrogenase [EC:1.1.99.1]",R01025,Choline + Acceptor <=> Betaine aldehyde + Reduced acceptor,map01100,Metabolic pathways,M00555,"Betaine biosynthesis, choline => betaine"
K00109,L2HGDH; 2-hydroxyglutarate dehydrogenase [EC:1.1.99.2],R03534,2-Hydroxyglutarate + FAD <=> 2-Oxoglutarate + FADH2,map01100,Metabolic pathways,,
K00111,"glpA, glpD; glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]",R00848,sn-Glycerol 3-phosphate + FAD <=> Glycerone phosphate + FADH2,map01110,Biosynthesis of secondary metabolites,,
K00112,glpB; glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3],R00848,sn-Glycerol 3-phosphate + FAD <=> Glycerone phosphate + FADH2,map01110,Biosynthesis of secondary metabolites,,
K00113,glpC; glycerol-3-phosphate dehydrogenase subunit C,R00848,sn-Glycerol 3-phosphate + FAD <=> Glycerone phosphate + FADH2,map01110,Biosynthesis of secondary metabolites,,
K00114,exaA; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8],R05285,2-Chloroethanol + 2 Ferricytochrome c <=> Chloroacetaldehyde + 2 Ferrocytochrome c + 2 H+,map01130,Biosynthesis of antibiotics,,
K00115,"GLD; glucose 1-dehydrogenase (FAD, quinone) [EC:1.1.5.9]",R00305,"D-Glucose + Quinone <=> D-Glucono-1,5-lactone + Hydroquinone",map01130,Biosynthesis of antibiotics,,
K00116,mqo; malate dehydrogenase (quinone) [EC:1.1.5.4],R01257,(S)-Malate + FAD <=> Oxaloacetate + FADH2,map01200,Carbon metabolism,M00011,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"
K00117,gcd; quinoprotein glucose dehydrogenase [EC:1.1.5.2],R06620,"D-Glucose + Ubiquinone <=> D-Glucono-1,5-lactone + Ubiquinol",map01130,Biosynthesis of antibiotics,,
K00118,gfo; glucose-fructose oxidoreductase [EC:1.1.99.28],,,,,,
K00119,E1.1.99.36; alcohol dehydrogenase (nicotinoprotein) [EC:1.1.99.36],,,,,,
K00120,fgd2; F420-dependent hydroxymycolic acid dehydrogenase [EC:1.1.98.-],,,,,,
K00121,"frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]",R08310,"4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one + NAD+ <=> 5-Phenyl-1,3-oxazinane-2,4-dione + NADH + H+",map05204,Chemical carcinogenesis,,
K00122,FDH; formate dehydrogenase [EC:1.17.1.9],R00519,Formate + NAD+ <=> H+ + CO2 + NADH,map01200,Carbon metabolism,,
K00123,"fdoG, fdhF, fdwA; formate dehydrogenase major subunit [EC:1.17.1.9]",R00519,Formate + NAD+ <=> H+ + CO2 + NADH,map01200,Carbon metabolism,,
K00124,"fdoH, fdsB; formate dehydrogenase iron-sulfur subunit",R00519,Formate + NAD+ <=> H+ + CO2 + NADH,map01200,Carbon metabolism,,
