,CHEM_ID,SUPER_PATHWAY,SUB_PATHWAY,PATHWAY_SORTORDER,TYPE,INCHIKEY,SMILES,CHEMICAL_NAME,PLOT_NAME,CAS,CHEMSPIDER,HMDB,KEGG,PUBCHEM,CHRO_LIB_ENTRY_ID,COMP_ID,LIB_ID,PLATFORM
fumarate,330,Energy,TCA Cycle,1466.0,NAMED,VZCYOOQTPOCHFL-OWOJBTEDSA-N,OC(/C=C/C(O)=O)=O,fumarate,fumarate,100-17-8,10197150.0,HMDB0000134,C00122,444972.0,146876,1643,305,Polar
gamma-glutamylglutamate,331,Peptide,Gamma-glutamyl Amino Acid,649.0,NAMED,OWQDWQKWSLFFFR-UHFFFAOYSA-N,O=C(O)C(N)CCC(NC(C(O)=O)CCC(O)=O)=O,gamma-glutamylglutamate,gamma-glutamylglutamate,1116-22-9,83831.0,HMDB0011737,C05282,92865.0,156248,36738,400,Pos Early
gluconate,338,Xenobiotics,Food Component/Plant,4826.0,NAMED,RGHNJXZEOKUKBD-SQOUGZDYSA-N,OC([C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)=O,gluconate,gluconate,527-07-1,10240.0,HMDB0000625,C00257,106903085666.0,147098,587,305,Polar
glutarate (C5-DC),339,Lipid,"Fatty Acid, Dicarboxylate",1676.0,NAMED,JFCQEDHGNNZCLN-UHFFFAOYSA-N,OC(CCCC(O)=O)=O,glutarate (C5-DC),glutarate (C5-DC),110-94-1,3618533.0,HMDB0000661,C00489,7434418048.0,146390,396,305,Polar
glycine,340,Amino Acid,"Glycine, Serine and Threonine Metabolism",1.0,NAMED,DHMQDGOQFOQNFH-UHFFFAOYSA-N,NCC(O)=O,glycine,glycine,56-40-6,730.0,HMDB0000123,C00037,750.0,160611,58,400,Pos Early
glycocholate,342,Lipid,Primary Bile Acid Metabolism,3473.0,NAMED,RFDAIACWWDREDC-FRVQLJSFSA-N,O=C(CNC(CC[C@H]([C@@H]1[C@@]2(C)[C@@H](O)C[C@]3([H])[C@@]4(C)CC[C@@H](O)C[C@@]4([H])C[C@@H](O)[C@@]3([H])[C@]2([H])CC1)C)=O)O,glycocholate,glycocholate,"475-31-0,863-57-0",9734.0,HMDB0000138,C01921,10140.0,126842,18476,209,Neg
guanidinoacetate,344,Amino Acid,Creatine Metabolism,535.0,NAMED,BPMFZUMJYQTVII-UHFFFAOYSA-N,NC(NCC(O)=O)=N,guanidinoacetate,guanidinoacetate,352-97-6,743.0,HMDB0000128,C00581,763.0,147630,43802,305,Polar
histidine,355,Amino Acid,Histidine Metabolism,72.0,NAMED,HNDVDQJCIGZPNO-UHFFFAOYSA-N,NC(C(O)=O)CC1=CN=CN1,histidine,histidine,5934-29-2,752.0,HMDB0000177,C00135,6274.0,123153,59,209,Neg
cortisol,356,Lipid,Corticosteroids,3324.0,NAMED,JYGXADMDTFJGBT-VWUMJDOOSA-N,O[C@@]1([C@@](CO)=O)[C@]2(C)[C@](CC1)([H])[C@@](CCC3=CC4=O)([H])[C@]([C@@]3(C)CC4)([H])[C@@H](O)C2,cortisol,cortisol,50-23-7,,HMDB0000063,C00735,5754.0,124815,1712,209,Neg
hypotaurine,358,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",476.0,NAMED,VVIUBCNYACGLLV-UHFFFAOYSA-N,NCCS(O)=O,hypotaurine,hypotaurine,300-84-5,96959.0,HMDB0000965,C00519,107812.0,146416,590,305,Polar
inosine,361,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",4138.0,NAMED,UGQMRVRMYYASKQ-KQYNXXCUSA-N,O[C@H]1[C@H](N2C(N=CN=C3O)=C3N=C2)O[C@H](CO)[C@H]1O,inosine,inosine,58-63-9,21241953.0,HMDB0000195,C00294,6021.0,123191,1123,209,Neg
myo-inositol,363,Lipid,Inositol Metabolism,2218.0,NAMED,CDAISMWEOUEBRE-GPIVLXJGSA-N,O[C@@H]1[C@@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H]1O,myo-inositol,myo-inositol,87-89-8,10239179.0,HMDB0000211,C00137,892.0,145716,1124,305,Polar
isoleucine,376,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",390.0,NAMED,AGPKZVBTJJNPAG-UHFFFAOYSA-N,NC(C(O)=O)C(C)CC,isoleucine,isoleucine,73-32-5,769.0,HMDB0000172,"C06418,C00407,C16424",6306.0,155350,1125,400,Pos Early
citrulline,391,Amino Acid,Urea cycle; Arginine and Proline Metabolism,499.0,NAMED,RHGKLRLOHDJJDR-UHFFFAOYSA-N,NC(C(O)=O)CCCNC(N)=O,citrulline,citrulline,372-75-8,810.0,HMDB0000904,C00327,9750.0,155460,2132,400,Pos Early
leucine,397,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",337.0,NAMED,ROHFNLRQFUQHCH-YFKPBYRVSA-N,O=C([C@H](CC(C)C)N)O,leucine,leucine,61-90-5,,HMDB0000687,C00123,6106.0,155300,60,400,Pos Early
lysine,407,Amino Acid,Lysine Metabolism,107.0,NAMED,KDXKERNSBIXSRK-UHFFFAOYSA-N,NC(C(O)=O)CCCCN,lysine,lysine,56-87-1,5747.0,HMDB0003405,"C00739,C00047",5962.0,155354,1301,400,Pos Early
malate,409,Energy,TCA Cycle,1468.0,NAMED,BJEPYKJPYRNKOW-UHFFFAOYSA-N,OC(C(O)=O)CC(O)=O,malate,malate,6915-15-7,510.0,"HMDB0031518,HMDB0000156,HMDB0000744","C00149,C00711,C00497",525.0,123199,1303,209,Neg
methionine,415,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",440.0,NAMED,FFEARJCKVFRZRR-UHFFFAOYSA-N,CSCCC(N)C(O)=O,methionine,methionine,63-68-3,5907.0,HMDB0000696,C00073,6137.0,155355,1302,400,Pos Early
palmitate (16:0),424,Lipid,Long Chain Saturated Fatty Acid,1527.0,NAMED,IPCSVZSSVZVIGE-UHFFFAOYSA-N,OC(CCCCCCCCCCCCCCC)=O,palmitate (16:0),palmitate (16:0),57-10-3,960.0,HMDB0000220,C00249,985.0,125720,1336,209,Neg
nicotinamide,432,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,4323.0,NAMED,DFPAKSUCGFBDDF-UHFFFAOYSA-N,NC(C1=CN=CC=C1)=O,nicotinamide,nicotinamide,98-92-0,911.0,HMDB0001406,C00153,936.0,155332,594,400,Pos Early
stearate (18:0),439,Lipid,Long Chain Saturated Fatty Acid,1531.0,NAMED,QIQXTHQIDYTFRH-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(O)=O,stearate (18:0),stearate (18:0),57-11-4,5091.0,HMDB0000827,C01530,5281.0,125724,1358,209,Neg
ornithine,444,Amino Acid,Urea cycle; Arginine and Proline Metabolism,494.0,NAMED,AHLPHDHHMVZTML-BYPYZUCNSA-N,O=C(O)[C@@H](N)CCCN,ornithine,ornithine,3184-13-2,6026.0,HMDB0000214,C00077,6262.0,155375,1493,400,Pos Early
orotate,445,Nucleotide,"Pyrimidine Metabolism, Orotate containing",4226.0,NAMED,PXQPEWDEAKTCGB-UHFFFAOYSA-N,O=C(C1=CC(O)=NC(O)=N1)O,orotate,orotate,50887-69-9,942.0,HMDB0000226,C00295,967.0,146440,1505,305,Polar
palmitoleate (16:1n7),452,Lipid,Long Chain Monounsaturated Fatty Acid,1546.0,NAMED,SECPZKHBENQXJG-FPLPWBNLSA-N,CCCCCC\C=C/CCCCCCCC(O)=O,palmitoleate (16:1n7),palmitoleate (16:1n7),373-49-9,393216.0,HMDB0003229,C08362,445638.0,126083,33447,209,Neg
phenylalanine,460,Amino Acid,Phenylalanine Metabolism,142.0,NAMED,COLNVLDHVKWLRT-UHFFFAOYSA-N,NC(C(O)=O)CC1=CC=CC=C1,phenylalanine,phenylalanine,63-91-2,5910.0,HMDB0000159,C00079,6140.0,155301,64,400,Pos Early
phosphate,461,Energy,Oxidative Phosphorylation,1485.0,NAMED,NBIIXXVUZAFLBC-UHFFFAOYSA-N,O=P(O)(O)O,phosphate,phosphate,7664-38-2,1032.0,HMDB0001429,C00009,1061.0,156915,42109,400,Pos Early
phytanate,466,Xenobiotics,Food Component/Plant,5021.0,NAMED,RLCKHJSFHOZMDR-UHFFFAOYSA-N,CC(CCCC(CCCC(CCCC(C)C)C)C)CC(O)=O,phytanate,phytanate,14721-66-5,10140204.0,HMDB0000801,C01607,26840.0,143837,598,209,Neg
proline,480,Amino Acid,Urea cycle; Arginine and Proline Metabolism,502.0,NAMED,ONIBWKKTOPOVIA-UHFFFAOYSA-N,OC(C1CCCN1)=O,proline,proline,147-85-3,128566.0,"HMDB0000162,HMDB0003411","C00148,C000763",8988145742614.0,155455,1898,400,Pos Early
lactate,482,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",1256.0,NAMED,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,CC(O)C(O)=O,lactate,lactate,79-33-4,592.0,HMDB0000190,C00186,612.0,146396,527,305,Polar
pyridoxal,491,Cofactors and Vitamins,Vitamin B6 Metabolism,4470.0,NAMED,RADKZDMFGJYCBB-UHFFFAOYSA-N,OC1=C(C)N=CC(CO)=C1C=O,pyridoxal,pyridoxal,65-22-5,1021.0,HMDB0001545,C00250,1050.0,155439,1651,400,Pos Early
retinol (vitamin A),498,Cofactors and Vitamins,Vitamin A Metabolism,4449.0,NAMED,FPIPGXGPPPQFEQ-OVSJKPMPSA-N,C/C(/C=C/C(C(C)(CCC1)C)=C1C)=C\C=C\C(C)=C\CO,retinol (vitamin A),retinol (vitamin A),68-26-8,393012.0,HMDB0000305,C00473,445354.0,165222,1806,402,Pos Late
salicylate,501,Xenobiotics,Drug - Topical Agents,5981.0,NAMED,YGSDEFSMJLZEOE-UHFFFAOYSA-N,OC1=C(C(O)=O)C=CC=C1,salicylate,salicylate,69-72-7,331.0,HMDB0001895,C00805,338.0,164364,1515,305,Polar
serine,503,Amino Acid,"Glycine, Serine and Threonine Metabolism",10.0,NAMED,MTCFGRXMJLQNBG-REOHCLBHSA-N,OC([C@@H](N)CO)=O,serine,serine,56-45-1,5736.0,HMDB0000187,C00065,5951.0,155437,1648,400,Pos Early
taurine,512,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",477.0,NAMED,XOAAWQZATWQOTB-UHFFFAOYSA-N,NCCS(=O)(O)=O,taurine,taurine,107-35-7,1091.0,HMDB0000251,C00245,1123.0,155458,2125,400,Pos Early
myristate (14:0),519,Lipid,Long Chain Saturated Fatty Acid,1524.0,NAMED,TUNFSRHWOTWDNC-UHFFFAOYSA-N,OC(CCCCCCCCCCCCC)=O,myristate (14:0),myristate (14:0),544-63-8,10539.0,HMDB0000806,C06424,11005.0,125728,1365,209,Neg
urea,533,Amino Acid,Urea cycle; Arginine and Proline Metabolism,492.0,NAMED,XSQUKJJJFZCRTK-UHFFFAOYSA-N,O=C(N)N,urea,urea,57-13-6,1143.0,HMDB0000294,C00086,1176.0,155443,1670,400,Pos Early
uridine,535,Nucleotide,"Pyrimidine Metabolism, Uracil containing",4238.0,NAMED,DRTQHJPVMGBUCF-UHFFFAOYSA-N,OC1C(N(C=CC2=O)C(N2)=O)OC(CO)C1O,uridine,uridine,58-96-8,5807.0,HMDB0000296,C00299,6029.0,123185,606,209,Neg
2'-deoxyuridine,536,Nucleotide,"Pyrimidine Metabolism, Uracil containing",4254.0,NAMED,MXHRCPNRJAMMIM-UHFFFAOYSA-N,O=C(NC1=O)N(C=C1)C(CC2O)OC2CO,2'-deoxyuridine,2'-deoxyuridine,951-78-0,13118.0,HMDB0000012,C00526,13712.0,165330,52602,209,Neg
trans-urocanate,537,Amino Acid,Histidine Metabolism,80.0,NAMED,LOIYMIARKYCTBW-OWOJBTEDSA-N,O=C(O)/C=C/C1=CNC=N1,trans-urocanate,trans-urocanate,104-98-3,643824.0,HMDB0000301,C00785,736715.0,145714,607,305,Polar
glutamate,561,Amino Acid,Glutamate Metabolism,46.0,NAMED,WHUUTDBJXJRKMK-VKHMYHEASA-N,O=C(O)[C@@H](N)CCC(O)=O,glutamate,glutamate,56-86-0,591.0,HMDB0000148,"C00025,C00217",33032.0,155297,57,400,Pos Early
glutamine,563,Amino Acid,Glutamate Metabolism,47.0,NAMED,ZDXPYRJPNDTMRX-VKHMYHEASA-N,OC([C@@H](N)CCC(N)=O)=O,glutamine,glutamine,56-85-9,5746.0,HMDB0000641,C00064,5961.0,155293,53,400,Pos Early
threonine,564,Amino Acid,"Glycine, Serine and Threonine Metabolism",17.0,NAMED,AYFVYJQAPQTCCC-GBXIJSLDSA-N,N[C@H](C(O)=O)[C@H](O)C,threonine,threonine,72-19-5,6051.0,HMDB0000167,C00188,6288.0,155352,1284,400,Pos Early
tryptophan,565,Amino Acid,Tryptophan Metabolism,259.0,NAMED,QIVBCDIJIAJPQS-VIFPVBQESA-N,O=C(O)[C@@H](N)CC1=CNC2=C1C=CC=C2,tryptophan,tryptophan,73-22-3,6066.0,HMDB0000929,C00078,6305.0,155294,54,400,Pos Early
valine,566,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",421.0,NAMED,KZSNJWFQEVHDMF-BYPYZUCNSA-N,N[C@H](C(O)=O)C(C)C,valine,valine,72-18-4,6050.0,HMDB0000883,C00183,6287.0,125742,1649,209,Neg
glucose,572,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",1239.0,NAMED,WQZGKKKJIJFFOK-DVKNGEFBSA-N,O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,glucose,glucose,50-99-7,71358.0,HMDB0000122,C00031,5793.0,151982,48152,305,Polar
betaine,799,Amino Acid,"Glycine, Serine and Threonine Metabolism",7.0,NAMED,KWIUHFFTVRNATP-UHFFFAOYSA-N,O=C(C[N+](C)(C)C)[O-],betaine,betaine,107-43-7,19951173242.0,HMDB0000043,C00719,247.0,155487,3141,400,Pos Early
cysteine,800,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",461.0,NAMED,XUJNEKJLAYXESH-REOHCLBHSA-N,SC[C@H](N)C(O)=O,cysteine,cysteine,"56-89-3,52-90-4",5653.0,HMDB0000574,C00097,5862.0,155454,1868,400,Pos Early
mannose,803,Carbohydrate,"Fructose, Mannose and Galactose Metabolism",1369.0,NAMED,WQZGKKKJIJFFOK-DXQLJALPSA-N,O[C@@H]1C(CO)O[C@@H](O)[C@@H](O)[C@H]1O,mannose,mannose,3458-28-4,141983.0,HMDB0000169,"C00159,C02209,C00936",8.23084396801856e+21,152039,48153,305,Polar
dimethylglycine,806,Amino Acid,"Glycine, Serine and Threonine Metabolism",6.0,NAMED,FFDGPVCHZBVARC-UHFFFAOYSA-N,CN(C)CC(O)=O,dimethylglycine,dimethylglycine,1118-68-9,653.0,HMDB0000092,C03626,673.0,155492,5086,400,Pos Early
alanine,811,Amino Acid,Alanine and Aspartate Metabolism,29.0,NAMED,QNAYBMKLOCPYGJ-REOHCLBHSA-N,O=C(O)[C@@H](N)C,alanine,alanine,56-41-7,5735.0,HMDB0000161,C00041,5950.0,155351,1126,400,Pos Early
tyrosine,815,Amino Acid,Tyrosine Metabolism,167.0,NAMED,OUYCCCASQSFEME-QMMMGPOBSA-N,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,tyrosine,tyrosine,60-18-4,5833.0,HMDB0000158,C00082,6057.0,155353,1299,400,Pos Early
pseudouridine,821,Nucleotide,"Pyrimidine Metabolism, Uracil containing",4240.0,NAMED,PTJWIQPHWPFNBW-GBNDHIKLSA-N,O[C@]1([H])[C@@](O)([H])[C@](CO)([H])O[C@]1(C2=CNC(NC2=O)=O)[H],pseudouridine,pseudouridine,1445-07-4,21403010.0,HMDB0000767,C02067,15047.0,125870,33442,209,Neg
pyruvate,823,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",1255.0,NAMED,LCTONWCANYUPML-UHFFFAOYSA-N,CC(C(O)=O)=O,pyruvate,pyruvate,127-17-3,96901.0,HMDB0000243,C00022,1060.0,123331,42584,209,Neg
cytidine,827,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",4270.0,NAMED,UHDGCWIWMRVCDJ-XVFCMESISA-N,OC[C@@H]1[C@H]([C@H]([C@H](N2C(N=C(C=C2)N)=O)O1)O)O,cytidine,cytidine,65-46-3,5940.0,HMDB0000089,C00475,6175.0,155308,514,400,Pos Early
