,definition
K00001,"E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]"
K00262,"E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]"
K00264,GLT1; glutamate synthase (NADH) [EC:1.4.1.14]
K00275,"pdxH, PNPO; pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]"
K00276,"AOC3, AOC2, tynA; primary-amine oxidase [EC:1.4.3.21]"
K00281,"GLDC, gcvP; glycine dehydrogenase [EC:1.4.4.2]"
K00282,gcvPA; glycine dehydrogenase subunit 1 [EC:1.4.4.2]
K00283,gcvPB; glycine dehydrogenase subunit 2 [EC:1.4.4.2]
K00285,dadA; D-amino-acid dehydrogenase [EC:1.4.5.1]
K00286,proC; pyrroline-5-carboxylate reductase [EC:1.5.1.2]
K00287,"DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]"
K00299,ssuE; FMN reductase [EC:1.5.1.38]
K00303,"soxB; sarcosine oxidase, subunit beta [EC:1.5.3.1]"
K00313,fixC; electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]
K00322,"sthA, udhA; NAD(P) transhydrogenase [EC:1.6.1.1]"
K00324,pntA; H+-translocating NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2 7.1.1.1]
K00325,pntB; H+-translocating NAD(P) transhydrogenase subunit beta [EC:1.6.1.2 7.1.1.1]
K00330,nuoA; NADH-quinone oxidoreductase subunit A [EC:7.1.1.2]
K00331,nuoB; NADH-quinone oxidoreductase subunit B [EC:7.1.1.2]
K00332,nuoC; NADH-quinone oxidoreductase subunit C [EC:7.1.1.2]
K00333,nuoD; NADH-quinone oxidoreductase subunit D [EC:7.1.1.2]
K00334,nuoE; NADH-quinone oxidoreductase subunit E [EC:7.1.1.2]
K00335,nuoF; NADH-quinone oxidoreductase subunit F [EC:7.1.1.2]
K00336,nuoG; NADH-quinone oxidoreductase subunit G [EC:7.1.1.2]
K00338,nuoI; NADH-quinone oxidoreductase subunit I [EC:7.1.1.2]
K00339,nuoJ; NADH-quinone oxidoreductase subunit J [EC:7.1.1.2]
K00341,nuoL; NADH-quinone oxidoreductase subunit L [EC:7.1.1.2]
K00342,nuoM; NADH-quinone oxidoreductase subunit M [EC:7.1.1.2]
K00344,"qor, CRYZ; NADPH:quinone reductase [EC:1.6.5.5]"
K00346,nqrA; Na+-transporting NADH:ubiquinone oxidoreductase subunit A [EC:7.2.1.1]
K00347,nqrB; Na+-transporting NADH:ubiquinone oxidoreductase subunit B [EC:7.2.1.1]
K00348,nqrC; Na+-transporting NADH:ubiquinone oxidoreductase subunit C [EC:7.2.1.1]
K00350,nqrE; Na+-transporting NADH:ubiquinone oxidoreductase subunit E [EC:7.2.1.1]
K00354,E1.6.99.1; NADPH2 dehydrogenase [EC:1.6.99.1]
K00355,NQO1; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
K00362,nirB; nitrite reductase (NADH) large subunit [EC:1.7.1.15]
K00363,nirD; nitrite reductase (NADH) small subunit [EC:1.7.1.15]
K00364,"E1.7.1.7, guaC; GMP reductase [EC:1.7.1.7]"
K00368,nirK; nitrite reductase (NO-forming) [EC:1.7.2.1]
K00370,"narG, narZ, nxrA; nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]"
K00371,"narH, narY, nxrB; nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]"
K00372,nasA; assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-]
K00373,"narJ, narW; nitrate reductase molybdenum cofactor assembly chaperone NarJ/NarW"
K00374,"narI, narV; nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]"
K00376,nosZ; nitrous-oxide reductase [EC:1.7.2.4]
K00381,cysI; sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2]
K00382,"DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]"
K00383,"GSR, gor; glutathione reductase (NADPH) [EC:1.8.1.7]"
K00389,yidH; putative membrane protein
K00390,cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]
K00395,"aprB; adenylylsulfate reductase, subunit B [EC:1.8.99.2]"
K00412,"CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit"
K00427,"lldP, lctP; L-lactate permease"
K00428,E1.11.1.5; cytochrome c peroxidase [EC:1.11.1.5]
K00433,cpo; non-heme chloroperoxidase [EC:1.11.1.10]
K00435,hemQ; Fe-coproporphyrin III decarboxylase [EC:1.11.1.-]
K00437,hydB; [NiFe] hydrogenase large subunit [EC:1.12.2.1]
K00441,frhB; coenzyme F420 hydrogenase subunit beta [EC:1.12.98.1]
K00455,"hpaD, hpcB; 3,4-dihydroxyphenylacetate 2,3-dioxygenase [EC:1.13.11.15]"
K00457,"HPD, hppD; 4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]"
K00459,"ncd2, npd; nitronate monooxygenase [EC:1.13.12.16]"
K00483,hpaB; 4-hydroxyphenylacetate 3-monooxygenase [EC:1.14.14.9]
K00520,merA; mercuric reductase [EC:1.16.1.1]
K00526,"E1.17.4.1B, nrdB, nrdF; ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]"
K00529,hcaD; 3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component [EC:1.18.1.3]
K00533,E1.12.7.2L; ferredoxin hydrogenase large subunit [EC:1.12.7.2]
K00547,"mmuM, BHMT2; homocysteine S-methyltransferase [EC:2.1.1.10]"
K00549,metE; 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]
K00556,trmH; tRNA (guanosine-2'-O-)-methyltransferase [EC:2.1.1.34]
K00557,trmA; tRNA (uracil-5-)-methyltransferase [EC:2.1.1.35]
K00558,"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"
K00560,"thyA, TYMS; thymidylate synthase [EC:2.1.1.45]"
K00561,"ermC, ermA; 23S rRNA (adenine-N6)-dimethyltransferase [EC:2.1.1.184]"
K00564,rsmC; 16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172]
K00566,"mnmA, trmU; tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13]"
K00567,"ogt, MGMT; methylated-DNA-[protein]-cysteine S-methyltransferase [EC:2.1.1.63]"
K00568,ubiG; 2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64]
K00571,E2.1.1.72; site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]
K00573,"E2.1.1.77, pcm; protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77]"
K00574,cfa; cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79]
K00598,tam; trans-aconitate 2-methyltransferase [EC:2.1.1.144]
K00600,"glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]"
K00602,purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]
K00603,fctD; glutamate formiminotransferase / 5-formyltetrahydrofolate cyclo-ligase [EC:2.1.2.5 6.3.3.2]
K00604,"MTFMT, fmt; methionyl-tRNA formyltransferase [EC:2.1.2.9]"
K00613,GATM; glycine amidinotransferase [EC:2.1.4.1]
K00616,"E2.2.1.2, talA, talB; transaldolase [EC:2.2.1.2]"
K00619,argA; amino-acid N-acetyltransferase [EC:2.3.1.1]
K00625,"E2.3.1.8, pta; phosphate acetyltransferase [EC:2.3.1.8]"
K00631,plsB; glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15]
K00632,"fadA, fadI; acetyl-CoA acyltransferase [EC:2.3.1.16]"
K00633,lacA; galactoside O-acetyltransferase [EC:2.3.1.18]
K00634,ptb; phosphate butyryltransferase [EC:2.3.1.19]
K00640,cysE; serine O-acetyltransferase [EC:2.3.1.30]
K00641,metX; homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]
K00645,"fabD, MCAT, MCT1; [acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]"
K00647,fabB; 3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41]
K00651,metA; homoserine O-succinyltransferase/O-acetyltransferase [EC:2.3.1.46 2.3.1.31]
K00655,plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]
K00656,"E2.3.1.54, pflD; formate C-acetyltransferase [EC:2.3.1.54]"
K00657,"speG, SAT; diamine N-acetyltransferase [EC:2.3.1.57]"
K00658,"DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]"
K00661,maa; maltose O-acetyltransferase [EC:2.3.1.79]
K00662,aacC; aminoglycoside 3-N-acetyltransferase [EC:2.3.1.81]
K00663,aacA; aminoglycoside 6'-N-acetyltransferase [EC:2.3.1.82]
K00666,ACSF2; fatty-acyl-CoA synthase [EC:6.2.1.-]
K00673,astA; arginine N-succinyltransferase [EC:2.3.1.109]
K00674,"dapD; 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]"
K00681,ggt; gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]
K00684,aat; leucyl/phenylalanyl-tRNA---protein transferase [EC:2.3.2.6]
K00688,"PYG, glgP; glycogen phosphorylase [EC:2.4.1.1]"
K00691,mapA; maltose phosphorylase [EC:2.4.1.8]
K00694,bcsA; cellulose synthase (UDP-forming) [EC:2.4.1.12]
K00697,otsA; trehalose 6-phosphate synthase [EC:2.4.1.15 2.4.1.347]
K00709,ABO; histo-blood group ABO system transferase [EC:2.4.1.40 2.4.1.37]
K00712,tagE; poly(glycerol-phosphate) alpha-glucosyltransferase [EC:2.4.1.52]
K00720,UGCG; ceramide glucosyltransferase [EC:2.4.1.80]
K00758,"deoA, TYMP; thymidine phosphorylase [EC:2.4.2.4]"
K00759,"APRT, apt; adenine phosphoribosyltransferase [EC:2.4.2.7]"
K00760,"hprT, hpt, HPRT1; hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]"
K00766,trpD; anthranilate phosphoribosyltransferase [EC:2.4.2.18]
K00768,"E2.4.2.21, cobU, cobT; nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21]"
K00769,gpt; xanthine phosphoribosyltransferase [EC:2.4.2.22]
K00772,"mtaP, MTAP; 5'-methylthioadenosine phosphorylase [EC:2.4.2.28]"
K00773,"tgt, QTRT1; queuine tRNA-ribosyltransferase [EC:2.4.2.29]"
K00783,rlmH; 23S rRNA (pseudouridine1915-N3)-methyltransferase [EC:2.1.1.177]
K00784,rnz; ribonuclease Z [EC:3.1.26.11]
K00786,E2.4.-.-; glycosyltransferase [EC:2.4.-.-]
K00788,thiE; thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]
K00794,"ribH, RIB4; 6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]"
K00795,ispA; farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]
K00798,"MMAB, pduO; cob(I)alamin adenosyltransferase [EC:2.5.1.17]"
K00799,"GST, gst; glutathione S-transferase [EC:2.5.1.18]"
K00800,aroA; 3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]
K00801,FDFT1; farnesyl-diphosphate farnesyltransferase [EC:2.5.1.21]
K00803,"AGPS, agpS; alkyldihydroxyacetonephosphate synthase [EC:2.5.1.26]"
K00806,uppS; undecaprenyl diphosphate synthase [EC:2.5.1.31]
K00809,"DHPS, dys; deoxyhypusine synthase [EC:2.5.1.46]"
K00813,aspC; aspartate aminotransferase [EC:2.6.1.1]
K00817,hisC; histidinol-phosphate aminotransferase [EC:2.6.1.9]
K00819,"rocD, OAT; ornithine--oxo-acid transaminase [EC:2.6.1.13]"
K00821,argD; acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]
K00823,puuE; 4-aminobutyrate aminotransferase [EC:2.6.1.19]
K00824,dat; D-alanine transaminase [EC:2.6.1.21]
K00826,"E2.6.1.42, ilvE; branched-chain amino acid aminotransferase [EC:2.6.1.42]"
K00831,"serC, PSAT1; phosphoserine aminotransferase [EC:2.6.1.52]"
K00832,tyrB; aromatic-amino-acid transaminase [EC:2.6.1.57]
K00833,bioA; adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62]
K00835,avtA; valine--pyruvate aminotransferase [EC:2.6.1.66]
K00836,"ectB, dat; diaminobutyrate-2-oxoglutarate transaminase [EC:2.6.1.76]"
K00840,astC; succinylornithine aminotransferase [EC:2.6.1.81]
K00844,HK; hexokinase [EC:2.7.1.1]
K00845,glk; glucokinase [EC:2.7.1.2]
K00848,rhaB; rhamnulokinase [EC:2.7.1.5]
K00850,"pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]"
K00851,"E2.7.1.12, gntK, idnK; gluconokinase [EC:2.7.1.12]"
K00853,araB; L-ribulokinase [EC:2.7.1.16]
K00854,"xylB, XYLB; xylulokinase [EC:2.7.1.17]"
K00855,"PRK, prkB; phosphoribulokinase [EC:2.7.1.19]"
K00856,"E2.7.1.20, ADK; adenosine kinase [EC:2.7.1.20]"
K00857,"tdk, TK; thymidine kinase [EC:2.7.1.21]"
K00858,"ppnK, NADK; NAD+ kinase [EC:2.7.1.23]"
K00860,cysC; adenylylsulfate kinase [EC:2.7.1.25]
K00863,"DAK, TKFC; triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing) [EC:2.7.1.28 2.7.1.29 4.6.1.15]"
K00864,"glpK, GK; glycerol kinase [EC:2.7.1.30]"
K00865,"glxK, garK; glycerate 2-kinase [EC:2.7.1.165]"
K00867,coaA; type I pantothenate kinase [EC:2.7.1.33]
K00868,"pdxK, pdxY; pyridoxine kinase [EC:2.7.1.35]"
K00869,"E2.7.1.36, MVK, mvaK1; mevalonate kinase [EC:2.7.1.36]"
K00873,"PK, pyk; pyruvate kinase [EC:2.7.1.40]"
K00874,kdgK; 2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]
K00876,"udk, UCK; uridine kinase [EC:2.7.1.48]"
K00879,fucK; L-fuculokinase [EC:2.7.1.51]
K00880,lyxK; L-xylulokinase [EC:2.7.1.53]
K00881,alsK; allose kinase [EC:2.7.1.55]
K00883,dgoK; 2-dehydro-3-deoxygalactonokinase [EC:2.7.1.58]
K00884,"NAGK, nagK; N-acetylglucosamine kinase [EC:2.7.1.59]"
K00885,nanK; N-acylmannosamine kinase [EC:2.7.1.60]
K00886,ppgK; polyphosphate glucokinase [EC:2.7.1.63]
K00891,"E2.7.1.71, aroK, aroL; shikimate kinase [EC:2.7.1.71]"
K00892,gsk; inosine kinase [EC:2.7.1.73]
K00906,aceK; isocitrate dehydrogenase kinase/phosphatase [EC:2.7.11.5 3.1.3.-]
K00925,ackA; acetate kinase [EC:2.7.2.1]
K00926,arcC; carbamate kinase [EC:2.7.2.2]
K00927,"PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]"
K00928,lysC; aspartate kinase [EC:2.7.2.4]
K00929,buk; butyrate kinase [EC:2.7.2.7]
K00931,proB; glutamate 5-kinase [EC:2.7.2.11]
K00932,tdcD; propionate kinase [EC:2.7.2.15]
K00936,"pdtaS; two-component system, sensor histidine kinase PdtaS [EC:2.7.13.3]"
K00937,ppk; polyphosphate kinase [EC:2.7.4.1]
K00939,"adk, AK; adenylate kinase [EC:2.7.4.3]"
K00942,"E2.7.4.8, gmk; guanylate kinase [EC:2.7.4.8]"
K00948,"PRPS, prsA; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]"
K00949,"thiN, TPK1, THI80; thiamine pyrophosphokinase [EC:2.7.6.2]"
K00950,folK; 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]
K00954,"E2.7.7.3A, coaD, kdtB; pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]"
K00955,cysNC; bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]
K00957,cysD; sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]
K00958,"sat, met3; sulfate adenylyltransferase [EC:2.7.7.4]"
K00962,"pnp, PNPT1; polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]"
K00966,GMPP; mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]
K00968,PCYT1; choline-phosphate cytidylyltransferase [EC:2.7.7.15]
K00969,nadD; nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18]
K00970,pcnB; poly(A) polymerase [EC:2.7.7.19]
K00973,"E2.7.7.24, rfbA, rffH; glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]"
K00978,rfbF; glucose-1-phosphate cytidylyltransferase [EC:2.7.7.33]
K00981,"E2.7.7.41, CDS1, CDS2, cdsA; phosphatidate cytidylyltransferase [EC:2.7.7.41]"
K00982,glnE; [glutamine synthetase] adenylyltransferase / [glutamine synthetase]-adenylyl-L-tyrosine phosphorylase [EC:2.7.7.42 2.7.7.89]
K00983,neuA; N-acylneuraminate cytidylyltransferase [EC:2.7.7.43]
K00986,ltrA; RNA-directed DNA polymerase [EC:2.7.7.49]
K00989,rph; ribonuclease PH [EC:2.7.7.56]
K00990,glnD; [protein-PII] uridylyltransferase [EC:2.7.7.59]
K00991,ispD; 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [EC:2.7.7.60]
K00995,"pgsA, PGS1; CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]"
K00996,rfbP; undecaprenyl-phosphate galactose phosphotransferase [EC:2.7.8.6]
K00997,acpS; holo-[acyl-carrier protein] synthase [EC:2.7.8.7]
K00998,pssA; CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8]
K01000,mraY; phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]
K01002,mdoB; phosphoglycerol transferase [EC:2.7.8.20]
K01006,"ppdK; pyruvate, orthophosphate dikinase [EC:2.7.9.1]"
K01007,"pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]"
K01008,"selD, SEPHS; selenide, water dikinase [EC:2.7.9.3]"
K01011,"TST, MPST, sseA; thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2]"
K01012,bioB; biotin synthase [EC:2.8.1.6]
K01023,assT; arylsulfate sulfotransferase [EC:2.8.2.22]
K01026,pct; propionate CoA-transferase [EC:2.8.3.1]
K01034,atoD; acetate CoA/acetoacetate CoA-transferase alpha subunit [EC:2.8.3.8 2.8.3.9]
K01035,atoA; acetate CoA/acetoacetate CoA-transferase beta subunit [EC:2.8.3.8 2.8.3.9]
K01039,"gctA; glutaconate CoA-transferase, subunit A [EC:2.8.3.12]"
K01040,"gctB; glutaconate CoA-transferase, subunit B [EC:2.8.3.12]"
K01042,selA; L-seryl-tRNA(Ser) seleniumtransferase [EC:2.9.1.1]
K01046,"lip, TGL2; triacylglycerol lipase [EC:3.1.1.3]"
K01048,pldB; lysophospholipase [EC:3.1.1.5]
K01051,E3.1.1.11; pectinesterase [EC:3.1.1.11]
K01056,"PTH1, pth, spoVC; peptidyl-tRNA hydrolase, PTH1 family [EC:3.1.1.29]"
K01057,"PGLS, pgl, devB; 6-phosphogluconolactonase [EC:3.1.1.31]"
K01058,pldA; phospholipase A1/A2 [EC:3.1.1.32 3.1.1.4]
K01060,cah; cephalosporin-C deacetylase [EC:3.1.1.41]
K01061,E3.1.1.45; carboxymethylenebutenolidase [EC:3.1.1.45]
